City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Mogadishu,SO,2022-12-27 22:28:50,2.0371,45.3438,78.37,76,64,15.12,broken clouds
151,Palmas Bellas,PA,2022-12-27 22:28:50,9.2319,-80.0867,80.19,76,93,8.16,overcast clouds
152,Watertown,US,2022-12-27 22:28:50,42.3709,-71.1828,32.34,56,0,7.0,clear sky
153,Avarua,CK,2022-12-27 22:28:51,-21.2078,-159.775,84.25,74,20,6.91,few clouds
154,Gimli,CA,2022-12-27 22:28:51,50.6336,-96.9907,12.22,85,100,9.22,overcast clouds
155,Tura,IN,2022-12-27 22:28:51,25.5198,90.2201,53.24,54,0,2.84,clear sky
156,Tezu,IN,2022-12-27 22:28:52,27.9167,96.1667,52.79,58,34,4.09,scattered clouds
157,Manavalakurichi,IN,2022-12-27 22:28:52,8.1333,77.3,76.62,80,16,9.64,few clouds
158,Luderitz,NA,2022-12-27 22:28:52,-26.6481,15.1594,63.66,73,0,16.42,clear sky
159,Korla,CN,2022-12-27 22:28:52,41.7597,86.1469,13.12,66,7,1.59,clear sky
160,Mahebourg,MU,2022-12-27 22:28:53,-20.4081,57.7,79.09,73,40,10.36,scattered clouds
161,Nome,US,2022-12-27 22:28:53,64.5011,-165.4064,6.87,72,100,6.91,overcast clouds
162,Fort Nelson,CA,2022-12-27 22:28:53,58.8053,-122.7002,-8.05,85,100,0.0,light snow
163,Poum,NC,2022-12-27 22:28:54,-20.2333,164.0167,79.38,84,100,19.51,light rain
164,Baghdad,IQ,2022-12-27 22:28:44,33.3406,44.4009,49.91,100,45,6.91,scattered clouds
165,Mbamba,NG,2022-12-27 22:28:54,9.9833,13.1,68.16,26,1,5.75,clear sky
166,Alofi,NU,2022-12-27 22:28:54,-19.0595,-169.9187,84.09,79,77,9.22,broken clouds
167,Gizo,SB,2022-12-27 22:28:54,-8.103,156.8419,83.79,72,92,17.72,overcast clouds
168,Tubarao,BR,2022-12-27 22:28:55,-28.4667,-49.0069,68.86,96,100,1.86,overcast clouds
169,Mount Gambier,AU,2022-12-27 22:28:55,-37.8333,140.7667,60.35,72,89,11.97,overcast clouds
170,Moose Factory,CA,2022-12-27 22:28:55,51.2585,-80.6094,6.8,72,100,9.22,overcast clouds
